City,Amsterdam,Antwerp,Athens,Barcelona,Belgrade,Berlin,Bratislava,Brussels,Bucharest,Budapest,Chisinau,Coimbra,Copenhagen,Dublin,Edinburgh,Frankfurt,Geneva,Hamburg,Helsinki,Larnaca,Lisbon,Ljubljana,London,Luxembourg City,Lyon,Madrid,Milan,Minsk,Munich,Nice,Oslo,Paris,Podgorica,Prague,Reykjavik,Riga,Rome,Sarajevo,Seville,Skopje,Sofia,Stockholm,Tallinn,Tirana,Valletta,Vienna,Vilnius,Warsaw,Zagreb,Zurich
Sofia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Stockholm,-,-,-,-,-,175,-,-,-,-,-,-,68,-,-,199,-,119,-,-,-,-,-,-,-,-,-,-,-,-,52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tallinn,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tirana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Valletta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Vienna,189,300.00,-,-,-,-,19,179.00,-,16,-,-,342,-,-,132,147,168,-,-,-,32,-,226,-,-,78,-,60,-,-,244,-,15,-,-,100,-,-,-,-,-,-,-,-,-,-,62,51,80
Vilnius,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Warsaw,95,188,-,-,-,45,-,84,-,-,-,-,116,-,-,90,179,90,-,-,-,-,-,74,325,-,-,-,138,-,-,341,-,84,-,-,-,-,-,-,-,-,-,-,-,62,-,-,-,105
Zagreb,168,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,168,-,-,-,-,27,-,-,-,-,-,-,37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,51,-,-,-,147
Zurich,60,178,-,484,-,90,-,168,-,122,-,-,80,-,-,48,66,90,-,-,-,137,-,126,314,-,53,-,41,374,-,130,-,137,-,-,120,-,-,-,-,-,-,-,-,80,-,105,147,-
