City,Amsterdam,Antwerp,Athens,Barcelona,Belgrade,Berlin,Bratislava,Brussels,Bucharest,Budapest,Chisinau,Coimbra,Copenhagen,Dublin,Edinburgh,Frankfurt,Geneva,Hamburg,Helsinki,Larnaca,Lisbon,Ljubljana,London,Luxembourg City,Lyon,Madrid,Milan,Minsk,Munich,Nice,Oslo,Paris,Podgorica,Prague,Reykjavik,Riga,Rome,Sarajevo,Seville,Skopje,Sofia,Stockholm,Tallinn,Tirana,Valletta,Vienna,Vilnius,Warsaw,Zagreb,Zurich
Hamburg,1h05,-,3h00,2h40,-,-,-,1h10,-,1h45,2h10,-,1h00,2h10,-,1h10,1h45,-,2h00,-,3h50,-,1h40,1h20,-,3h00,1h45,-,1h25,2h05,1h25,1h35,-,-,-,1h40,2h15,-,-,-,-,1h35,-,2h55,3h00,1h35,1h50,1h25,-,1h25
Helsinki,2h40,-,-,4h00,-,2h10,-,2h35,-,-,-,-,1h40,3h20,2h55,2h50,3h10,2h00,-,-,4h55,-,3h10,-,-,4h25,3h00,-,2h40,3h25,1h35,3h05,-,2h10,3h55,1h00,3h30,-,-,-,-,1h00,0h30,-,-,2h25,1h40,1h40,-,2h50
Larnaca,4h40,-,1h45,-,-,-,-,-,2h30,3h20,-,-,-,-,-,4h25,-,-,-,-,-,-,5h20,-,-,-,-,-,3h55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2h50,3h00,-,3h40,-,3h50
Lisbon,3h10,-,4h35,1h55,3h50,2h45,-,2h50,-,4h10,-,-,4h00,2h55,3h15,3h15,2h35,3h50,4h55,-,-,-,2h45,2h50,2h35,1h15,3h00,-,3h20,2h50,4h15,2h45,-,3h35,-,-,3h10,-,1h05,-,-,4h25,-,-,-,-,-,4h25,-,2h50
Ljubljana,1h45,-,-,-,1h25,-,-,1h35,-,-,-,-,-,-,-,1h15,-,-,-,-,-,-,2h35,1h50,-,-,-,-,0h50,-,-,1h50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1h40,-,1h15
London,1h05,-,4h05,2h20,3h15,1h55,2h35,1h05,3h30,2h40,3h10,-,2h05,1h25,1h25,1h50,1h35,1h40,3h10,5h20,2h45,2h35,-,1h15,1h40,2h25,2h10,-,2h05,2h00,2h35,1h10,-,2h10,3h00,3h00,2h50,3h05,2h50,3h35,3h30,2h35,3h10,3h30,2h15,2h35,3h00,2h50,2h40,1h50
Luxembourg City,1h10,-,3h05,2h15,-,1h30,-,-,-,2h10,-,-,1h50,2h10,-,0h50,1h05,1h20,-,-,2h50,1h50,1h15,-,-,2h30,1h20,-,1h10,1h30,-,1h00,-,-,-,-,-,-,-,-,-,2h45,-,-,-,1h45,-,1h50,-,1h05
Lyon,1h50,-,2h45,1h20,-,1h55,-,1h25,-,-,-,-,2h15,2h20,-,1h30,-,-,-,-,2h35,-,1h40,-,-,1h55,-,-,1h20,-,-,1h05,-,1h45,-,-,1h35,-,2h20,-,-,-,-,2h30,2h10,1h50,-,2h25,-,-
Madrid,2h40,-,3h55,1h25,-,3h10,-,2h30,4h20,3h20,-,-,3h10,2h35,2h55,2h50,2h00,3h00,4h25,-,1h15,-,2h25,2h30,1h55,-,2h35,-,2h50,2h00,3h45,2h10,-,3h00,4h25,4h20,2h40,-,1h10,-,4h05,3h55,-,3h40,-,3h10,-,3h55,-,2h20
Milan,1h55,-,2h35,1h40,1h40,1h40,-,1h25,2h15,1h45,2h35,-,2h00,2h40,2h35,1h15,-,1h45,3h00,-,3h00,-,2h10,1h20,-,2h35,-,-,1h15,-,2h40,1h30,-,1h35,4h15,-,1h10,-,-,-,2h15,2h45,-,2h00,2h00,1h25,2h40,2h00,-,1h00
Minsk,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Munich,1h40,-,2h30,2h15,1h25,1h10,-,1h15,1h55,1h15,-,-,1h35,2h40,2h25,1h05,1h10,1h25,2h40,3h55,3h20,0h50,2h05,1h10,1h20,2h50,1h15,-,-,1h25,2h15,1h30,-,0h55,4h00,2h10,1h40,-,3h05,-,2h10,2h15,-,-,2h20,1h00,2h00,1h45,1h05,0h55
Nice,2h10,-,2h25,1h15,1h50,2h00,-,1h45,-,1h55,-,-,2h25,2h45,-,1h40,1h00,2h05,3h25,-,2h50,-,2h00,1h30,-,2h00,-,-,1h25,-,-,1h30,-,1h50,-,-,1h15,-,-,-,-,3h05,3h25,-,-,2h00,-,2h20,-,1h15
Oslo,1h45,-,4h00,3h30,2h45,1h40,-,1h55,3h10,2h30,-,-,1h15,2h10,2h00,2h05,-,1h25,1h35,-,4h15,-,2h35,-,-,3h45,2h40,-,2h15,-,-,2h30,-,2h00,2h45,1h35,3h10,-,-,3h25,-,1h00,1h35,-,-,2h15,1h50,1h50,-,2h50
