City,Amsterdam,Antwerp,Athens,Barcelona,Belgrade,Berlin,Bratislava,Brussels,Bucharest,Budapest,Chisinau,Coimbra,Copenhagen,Dublin,Edinburgh,Frankfurt,Geneva,Hamburg,Helsinki,Larnaca,Lisbon,Ljubljana,London,Luxembourg City,Lyon,Madrid,Milan,Minsk,Munich,Nice,Oslo,Paris,Podgorica,Prague,Reykjavik,Riga,Rome,Sarajevo,Seville,Skopje,Sofia,Stockholm,Tallinn,Tirana,Valletta,Vienna,Vilnius,Warsaw,Zagreb,Zurich
Reykjavik,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Riga,29h45,31h20,-,49h50,33h10,17h50,20h50,32h55,44h10,23h15,41h00,64h25,29h00,-,54h25,26h13,40h45,22h10,7h10,-,65h35,28h40,42h10,30h25,38h00,55h10,35h30,10h25,27h10,42h05,40h05,32h25,-,20h55,-,-,39h50,-,76h45,-,53h05,-,4h00,-,-,22h30,3h40,9h40,28h50,32h05
Rome,25h35,23h20,-,20h10,22h10,19h55,19h45,22h15,44h00,19h00,56h45,39h25,32h55,-,43h20,19h10,13h50,25h55,51h45,-,41h05,10h39,31h15,19h20,14h00,33h40,7h25,-,11h30,9h40,45h15,20h15,-,18h15,-,39h50,-,-,52h30,-,32h20,44h45,44h45,-,-,16h05,39h15,25h20,12h40,1h25
Sarajevo,-,-,-,-,6h30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6h45,-,-,-,-,-,-,-,6h45,-,-,-,-,-,-,-,6h45,-,-,-,-,-,-,-,7h55,-
Seville,40h30,38h05,-,18h45,-,52h15,-,36h45,-,56h30,-,10h05,56h10,-,-,42h30,49h30,48h20,83h15,-,6h00,53h30,-,41h20,37h40,6h11,33h30,-,45h00,28h00,65h30,27h55,-,52h15,-,76h45,52h30,-,-,-,79h55,-,80h25,-,-,52h25,69h45,62h00,55h15,-
Skopje,-,-,-,-,6h21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4h40,-,-,-,-,-,-,-,-,-
Sofia,35h15,-,11h30,52h50,21h40,31h50,17h20,-,7h00,14h31,-,65h30,40h20,-,59h25,25h00,32h35,33h55,61h40,-,68h45,15h30,49h40,38h30,-,58h20,26h25,-,21h55,35h45,59h00,38h55,-,22h50,-,53h05,32h20,6h45,79h55,4h40,-,58h15,57h50,-,-,-,46h12,33h25,12h40,36h45
Stockholm,23h20,24h10,-,44h45,48h35,18h45,30h00,24h55,-,32h00,-,60h55,9h30,-,-,27h30,41h25,15h35,-,-,56h50,40h00,-,32h20,37h15,49h05,39h15,-,28h45,45h45,7h25,29h55,-,23h35,-,-,44h45,-,-,-,58h15,-,-,-,-,28h45,42h50,29h00,35h15,33h36
Tallinn,33h55,36h05,-,54h30,37h45,22h35,26h50,37h40,49h00,28h05,48h00,66h00,33h45,-,-,31h29,44h45,26h40,-,-,69h15,35h39,60h00,35h00,42h45,58h50,40h40,15h50,32h30,48h30,44h45,3h05,-,25h40,-,4h00,44h45,-,80h25,-,57h50,-,-,-,-,27h15,7h55,14h05,33h50,40h35
Tirana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5h15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Valletta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Vienna,16h35,18h20,-,29h15,8h40,-,1h15,18h00,18h00,2h50,23h30,52h35,18h55,-,39h30,10h05,15h05,13h19,31h05,-,43h45,4h45,29h10,14h50,-,36h40,11h56,-,5h00,17h16,29h20,17h00,-,3h55,-,22h30,16h05,-,52h25,-,-,28h45,27h15,-,-,-,17h35,8h45,4h50,15h45
Vilnius,27h35,26h25,-,45h35,29h25,15h20,19h40,28h50,39h20,19h45,38h35,64h25,26h20,-,49h30,24h40,33h55,20h20,11h55,-,61h05,25h10,37h15,28h35,35h35,55h25,32h30,4h55,24h35,40h15,36h15,31h50,-,18h35,-,3h40,39h15,-,69h45,-,46h12,42h50,7h55,-,-,17h35,-,6h25,25h20,33h05
Warsaw,17h45,18h00,-,36h35,19h35,6h45,8h50,20h15,28h35,11h15,29h30,58h05,17h05,-,39h40,12h52,25h50,11h15,18h05,-,51h50,15h55,27h25,19h15,26h10,42h00,23h05,10h55,14h20,28h25,27h31,22h00,-,8h40,-,9h40,25h20,-,62h00,-,33h25,29h00,14h05,-,-,8h45,6h25,-,15h20,20h55
Zagreb,22h10,21h35,-,24h55,5h30,14h35,6h20,20h35,22h45,4h05,43h50,65h30,25h35,-,45h00,25h00,17h15,19h19,37h45,-,46h35,1h55,33h20,19h50,-,37h40,9h50,-,7h30,15h35,38h45,20h25,-,9h50,-,28h50,12h40,7h55,55h15,-,12h40,35h15,33h50,-,-,4h50,25h20,15h20,-,19h40
Zurich,12h20,10h10,-,23h50,-,12h05,16h50,9h10,38h05,18h50,65h45,49h35,21h00,-,-,8h00,-,13h35,47h35,-,45h35,-,24h05,6h30,12h20,37h25,3h45,-,4h50,22h10,33h06,11h00,-,10h40,-,32h05,1h25,-,-,-,36h45,33h36,40h35,-,-,15h45,33h05,20h55,19h40,-
