City,Amsterdam,Antwerp,Athens,Barcelona,Belgrade,Berlin,Bratislava,Brussels,Bucharest,Budapest,Chisinau,Coimbra,Copenhagen,Dublin,Edinburgh,Frankfurt,Geneva,Hamburg,Helsinki,Larnaca,Lisbon,Ljubljana,London,Luxembourg City,Lyon,Madrid,Milan,Minsk,Munich,Nice,Oslo,Paris,Podgorica,Prague,Reykjavik,Riga,Rome,Sarajevo,Seville,Skopje,Sofia,Stockholm,Tallinn,Tirana,Valletta,Vienna,Vilnius,Warsaw,Zagreb,Zurich
Rome,-,-,-,-,-,23h37,-,21h47,-,21h11,-,-,-,-,-,-,8h06,20h30,-,-,-,-,-,-,-,-,2h56,-,9h37,8h24,-,12h52,-,-,-,-,-,-,-,-,-,-,-,-,-,12h46,-,-,-,7h20
Sarajevo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Seville,-,-,-,5h47,-,-,-,-,-,-,-,9h29,-,-,-,-,-,-,-,-,7h23,-,-,-,-,2h33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Skopje,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sofia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Stockholm,-,-,-,-,-,20h59,-,-,-,-,-,-,5h23,-,-,21h46,-,12h19,-,-,-,-,-,-,-,-,-,-,-,-,5h16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tallinn,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tirana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Valletta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Vienna,12h31,12h23,-,-,-,-,0h59,10h58,-,2h24,-,-,18h24,-,-,7h13,11h50,9h27,-,-,-,5h40,-,11h48,-,-,12h55,-,5h00,-,-,11h46,-,3h58,-,-,12h46,-,-,-,-,-,-,-,-,-,-,7h36,6h49,8h53
Vilnius,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Warsaw,12h19,14h13,-,-,-,5h05,-,14h32,-,-,-,-,18h23,-,-,9h43,21h17,8h05,-,-,-,-,-,17h24,20h15,-,-,-,11h39,-,-,20h17,-,9h02,-,-,-,-,-,-,-,-,-,-,-,7h36,-,-,-,19h24
Zagreb,20h39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32h28,-,-,-,-,2h22,-,-,-,-,-,-,9h42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6h49,-,-,-,18h03
Zurich,12h20,8h22,-,13h34,-,8h28,-,7h37,-,12h10,-,-,17h30,-,-,4h38,2h45,8h34,-,-,-,15h26,-,6h47,7h58,-,3h35,-,4h35,10h58,-,4h34,-,10h56,-,-,7h20,-,-,-,-,-,-,-,-,8h53,-,19h24,18h03,-
