City,Tirana,Vienna,Minsk,Antwerp,Brussels,Sarajevo,Sofia,Zagreb,Larnaca,Prague,Copenhagen,Tallinn,Helsinki,Nice,Paris,Lyon,Munich,Berlin,Hamburg,Frankfurt,Athens,Budapest,Reykjavik,Dublin,Milan,Rome,Riga,Vilnius,Luxembourg City,Valletta,Chisinau,Podgorica,Amsterdam,Skopje,Oslo,Warsaw,Coimbra,Lisbon,Bucharest,Belgrade,Bratislava,Ljubljana,Barcelona,Madrid,Seville,Stockholm,Zurich,Geneva,Edinburgh,London
Prague,-,3h55,23h40,14h50,11h55,-,22h50,9h50,-,-,13h45,25h40,29h30,17h50,12h45,-,4h30,3h55,8h44,6h25,32h00,5h56,-,-,12h40,18h15,20h55,18h35,12h20,-,26h20,-,12h35,-,23h00,8h40,51h55,43h35,24h26,14h31,4h10,9h13,25h00,31h30,52h15,23h35,10h40,13h20,36h35,25h00
Reykjavik,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Riga,-,22h30,10h25,31h20,32h55,-,53h05,28h50,-,20h55,29h00,4h00,7h10,42h05,32h25,38h00,27h10,17h50,22h10,26h13,-,23h15,-,-,35h30,39h50,-,3h40,30h25,-,41h00,-,29h45,-,40h05,9h40,64h25,65h35,44h10,33h10,20h50,28h40,49h50,55h10,76h45,-,32h05,40h45,54h25,42h10
Rome,-,16h05,-,23h20,22h15,-,32h20,12h40,-,18h15,32h55,44h45,51h45,9h40,20h15,14h00,11h30,19h55,25h55,19h10,-,19h00,-,-,7h25,-,39h50,39h15,19h20,-,56h45,-,25h35,-,45h15,25h20,39h25,41h05,44h00,22h10,19h45,10h39,20h10,33h40,52h30,44h45,1h25,13h50,43h20,31h15
Sarajevo,-,-,-,-,-,-,6h45,7h55,-,-,-,-,-,-,-,6h45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6h45,-,-,-,-,-,-,-,6h30,-,-,-,-,-,-,-,-,-,-
Seville,-,52h25,-,38h05,36h45,-,79h55,55h15,-,52h15,56h10,80h25,83h15,28h00,27h55,37h40,45h00,52h15,48h20,42h30,-,56h30,-,-,33h30,52h30,76h45,69h45,41h20,-,-,-,40h30,-,65h30,62h00,10h05,6h00,-,-,-,53h30,18h45,6h11,-,-,-,49h30,-,-
Skopje,-,-,-,-,-,-,4h40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6h21,-,-,-,-,-,-,-,-,-,-
Sofia,-,-,-,-,-,6h45,-,12h40,-,22h50,40h20,57h50,61h40,35h45,38h55,-,21h55,31h50,33h55,25h00,11h30,14h31,-,-,26h25,32h20,53h05,46h12,38h30,-,-,-,35h15,4h40,59h00,33h25,65h30,68h45,7h00,21h40,17h20,15h30,52h50,58h20,79h55,58h15,36h45,32h35,59h25,49h40
Stockholm,-,28h45,-,24h10,24h55,-,58h15,35h15,-,23h35,9h30,-,-,45h45,29h55,37h15,28h45,18h45,15h35,27h30,-,32h00,-,-,39h15,44h45,-,42h50,32h20,-,-,-,23h20,-,7h25,29h00,60h55,56h50,-,48h35,30h00,40h00,44h45,49h05,-,-,33h36,41h25,-,-
Tallinn,-,27h15,15h50,36h05,37h40,-,57h50,33h50,-,25h40,33h45,-,-,48h30,3h05,42h45,32h30,22h35,26h40,31h29,-,28h05,-,-,40h40,44h45,4h00,7h55,35h00,-,48h00,-,33h55,-,44h45,14h05,66h00,69h15,49h00,37h45,26h50,35h39,54h30,58h50,80h25,-,40h35,44h45,-,60h00
Tirana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5h15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Valletta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Vienna,-,-,-,18h20,18h00,-,-,4h50,-,3h55,18h55,27h15,31h05,17h16,17h00,-,5h00,-,13h19,10h05,-,2h50,-,-,11h56,16h05,22h30,17h35,14h50,-,23h30,-,16h35,-,29h20,8h45,52h35,43h45,18h00,8h40,1h15,4h45,29h15,36h40,52h25,28h45,15h45,15h05,39h30,29h10
Vilnius,-,17h35,4h55,26h25,28h50,-,46h12,25h20,-,18h35,26h20,7h55,11h55,40h15,31h50,35h35,24h35,15h20,20h20,24h40,-,19h45,-,-,32h30,39h15,3h40,-,28h35,-,38h35,-,27h35,-,36h15,6h25,64h25,61h05,39h20,29h25,19h40,25h10,45h35,55h25,69h45,42h50,33h05,33h55,49h30,37h15
Warsaw,-,8h45,10h55,18h00,20h15,-,33h25,15h20,-,8h40,17h05,14h05,18h05,28h25,22h00,26h10,14h20,6h45,11h15,12h52,-,11h15,-,-,23h05,25h20,9h40,6h25,19h15,-,29h30,-,17h45,-,27h31,-,58h05,51h50,28h35,19h35,8h50,15h55,36h35,42h00,62h00,29h00,20h55,25h50,39h40,27h25
Zagreb,-,4h50,-,21h35,20h35,7h55,12h40,-,-,9h50,25h35,33h50,37h45,15h35,20h25,-,7h30,14h35,19h19,25h00,-,4h05,-,-,9h50,12h40,28h50,25h20,19h50,-,43h50,-,22h10,-,38h45,15h20,65h30,46h35,22h45,5h30,6h20,1h55,24h55,37h40,55h15,35h15,19h40,17h15,45h00,33h20
Zurich,-,15h45,-,10h10,9h10,-,36h45,19h40,-,10h40,21h00,40h35,47h35,22h10,11h00,12h20,4h50,12h05,13h35,8h00,-,18h50,-,-,3h45,1h25,32h05,33h05,6h30,-,65h45,-,12h20,-,33h06,20h55,49h35,45h35,38h05,-,16h50,-,23h50,37h25,-,33h36,-,-,-,24h05
