City,Amsterdam,Antwerp,Athens,Barcelona,Belgrade,Berlin,Bratislava,Brussels,Bucharest,Budapest,Chisinau,Coimbra,Copenhagen,Dublin,Edinburgh,Frankfurt,Geneva,Hamburg,Helsinki,Larnaca,Lisbon,Ljubljana,London,Luxembourg City,Lyon,Madrid,Milan,Minsk,Munich,Nice,Oslo,Paris,Podgorica,Prague,Reykjavik,Riga,Rome,Sarajevo,Seville,Skopje,Sofia,Stockholm,Tallinn,Tirana,Valletta,Vienna,Vilnius,Warsaw,Zagreb,Zurich
Oslo,236.0,254.0,-,345.0,-,227.0,247.0,236.0,-,251.0,-,458.0,120.0,-,528.0,248.0,201.0,171.0,-,-,444.0,255.0,425.0,200.0,235.0,433.0,253.0,-,191.0,316.0,104.0,280.0,-,231.0,-,-,318.0,-,400.0,-,-,52.0,-,-,-,246.0,-,236.0,228.0,200.0
Paris,149.0,245.0,-,159.0,-,211.0,222.0,72.0,-,353.0,-,264.0,160.0,-,342.0,122.0,138.0,211.0,-,-,250.0,203.0,218.0,100.0,45.0,211.0,193.0,-,139.0,119.0,280.0,90.0,-,254.0,-,-,355.0,-,210.0,-,-,228.0,-,-,-,244.0,-,341.0,176.0,130.0
Podgorica,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Prague,100.0,167.0,-,249.0,-,36.0,16.0,137.0,-,42.0,-,362.0,147.0,-,417.0,84.0,105.0,60.0,-,-,348.0,78.0,314.0,105.0,139.0,337.0,93.0,-,49.0,127.0,231.0,254.0,-,30.0,-,-,115.0,-,304.0,-,-,179.0,-,-,-,15.0,-,84.0,66.0,137.0
Reykjavik,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Riga,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rome,180.0,228.0,-,262.0,-,188.0,119.0,301.0,-,190.0,-,375.0,198.0,-,519.0,161.0,183.0,208.0,-,-,361.0,132.0,416.0,193.0,167.0,350.0,42.0,-,127.0,78.0,318.0,355.0,-,115.0,-,-,84.0,-,317.0,-,-,266.0,-,-,-,100.0,-,162.0,151.0,120.0
Sarajevo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Seville,359.0,381.0,-,55.0,-,314.0,320.0,282.0,-,335.0,-,64.0,280.0,-,552.0,310.0,199.0,344.0,-,-,44.0,351.0,428.0,291.0,165.0,33.0,273.0,-,309.0,239.0,400.0,210.0,-,304.0,-,-,317.0,-,66.0,-,-,348.0,-,-,-,319.0,-,381.0,346.0,320.0
Skopje,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
