,Amsterdam,Antwerp,Athens,Barcelona,Belgrade,Berlin,Bratislava,Brussels,Bucharest,Budapest,Chisinau,Coimbra,Copenhagen,Dublin,Edinburgh,Frankfurt,Geneva,Hamburg,Helsinki,Larnaca,Lisbon,Ljubljana,London,Luxembourg City,Lyon,Madrid,Milan,Minsk,Munich,Nice,Oslo,Paris,Podgorica,Prague,Reykjavik,Riga,Rome,Sarajevo,Seville,Skopje,Sofia,Stockholm,Tallinn,Tirana,Valletta,Vienna,Vilnius,Warsaw,Zagreb,Zurich
Seville,3.0,-,5.0,2.0,4.0,4.0,6.0,3.0,5.0,4.0,5.0,-,4.0,3.0,4.0,3.0,2.0,4.0,5.0,7.0,1.0,4.0,3.0,3.0,2.0,1.0,4.0,-,3.0,3.0,5.0,3.0,5.0,4.0,5.0,5.0,3.0,5.0,2.0,5.0,5.0,5.0,6.0,5.0,4.0,4.0,5.0,4.0,4.0,3.0
Skopje,3.0,-,2.0,4.0,2.0,2.0,2.0,3.0,2.0,1.0,3.0,-,3.0,4.0,3.0,2.0,3.0,3.0,4.0,4.0,5.0,3.0,4.0,3.0,3.0,4.0,3.0,-,2.0,3.0,3.0,3.0,3.0,3.0,6.0,3.0,3.0,2.0,5.0,2.0,3.0,4.0,4.0,3.0,4.0,2.0,3.0,2.0,1.0,2.0
Sofia,3.0,-,1.0,3.0,1.0,2.0,5.0,3.0,2.0,2.0,3.0,-,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,5.0,2.0,4.0,3.0,3.0,4.0,2.0,-,2.0,3.0,4.0,3.0,2.0,2.0,6.0,3.0,2.0,3.0,5.0,3.0,2.0,4.0,4.0,2.0,4.0,2.0,3.0,2.0,2.0,2.0
Stockholm,2.0,-,4.0,4.0,3.0,2.0,6.0,2.0,4.0,3.0,4.0,-,1.0,3.0,2.0,2.0,3.0,2.0,1.0,5.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,-,2.0,3.0,1.0,3.0,3.0,2.0,3.0,1.0,3.0,3.0,5.0,4.0,4.0,2.0,1.0,4.0,4.0,2.0,1.0,2.0,3.0,2.0
Tallinn,3.0,-,3.0,4.0,4.0,3.0,6.0,3.0,4.0,3.0,4.0,-,2.0,4.0,3.0,3.0,4.0,3.0,1.0,5.0,5.0,4.0,3.0,4.0,4.0,5.0,4.0,-,3.0,3.0,2.0,3.0,4.0,3.0,4.0,1.0,4.0,4.0,6.0,4.0,4.0,1.0,2.0,4.0,5.0,3.0,2.0,2.0,4.0,3.0
Tirana,3.0,-,1.0,3.0,1.0,3.0,5.0,3.0,2.0,2.0,3.0,-,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,5.0,2.0,4.0,3.0,3.0,4.0,2.0,-,2.0,3.0,4.0,3.0,2.0,2.0,6.0,3.0,2.0,3.0,5.0,3.0,2.0,4.0,4.0,2.0,4.0,2.0,3.0,2.0,2.0,2.0
Valletta,3.0,-,4.0,3.0,3.0,3.0,5.0,3.0,4.0,3.0,4.0,-,4.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,5.0,3.0,2.0,3.0,2.0,4.0,2.0,-,2.0,3.0,4.0,3.0,4.0,3.0,5.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,3.0,3.0,2.0
Vienna,2.0,-,2.0,3.0,1.0,1.0,4.0,2.0,2.0,1.0,2.0,-,2.0,3.0,2.0,1.0,2.0,2.0,2.0,3.0,4.0,2.0,3.0,2.0,2.0,3.0,1.0,-,1.0,2.0,2.0,2.0,1.0,1.0,5.0,2.0,2.0,1.0,4.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0
Vilnius,3.0,-,4.0,4.0,3.0,2.0,5.0,2.0,3.0,2.0,3.0,-,2.0,4.0,3.0,2.0,3.0,2.0,2.0,5.0,5.0,3.0,3.0,3.0,3.0,5.0,3.0,-,2.0,3.0,2.0,3.0,3.0,2.0,4.0,1.0,2.0,3.0,5.0,3.0,3.0,1.0,2.0,3.0,4.0,2.0,2.0,1.0,3.0,3.0
Warsaw,2.0,-,3.0,3.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,-,1.0,3.0,3.0,2.0,2.0,1.0,2.0,4.0,4.0,2.0,3.0,2.0,2.0,4.0,2.0,-,2.0,2.0,2.0,2.0,2.0,1.0,4.0,1.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0
Zagreb,2.0,-,3.0,3.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,-,2.0,4.0,3.0,2.0,2.0,2.0,3.0,4.0,4.0,2.0,3.0,2.0,2.0,4.0,2.0,-,1.0,2.0,3.0,2.0,2.0,2.0,5.0,3.0,3.0,1.0,4.0,1.0,2.0,3.0,4.0,2.0,3.0,1.0,3.0,2.0,2.0,2.0
Zurich,1.0,-,3.0,2.0,2.0,1.0,4.0,1.0,3.0,2.0,3.0,-,2.0,2.0,2.0,1.0,1.0,1.0,3.0,4.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,-,1.0,1.0,3.0,1.0,2.0,1.0,4.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0
